视图,子视图,CPU配额,指标代码,tagK1,tagK2,tagV1,tagV2,图/表,难度
,,历史75%分位数,currentOrderAndCounterDelay_10Avg,,,,,,中等
,,当前订单消耗延迟时间段数据,currentOrderAndCounterDelay,,,,,,简单
,订单情况 -订单委撤,订单委撤情况,statisticsCounterOrders,,,,,,中等
,订单情况 -策略实例的撤单比,策略实例的撤单比,algoOrderCommissionWithdrawalRatio,,,,,,中等
,订单情况 -撤单占比图,中心撤单占比数据,algoCenterOrderCommissionWithdrawalRatio,,,,,,中等
,订单情况 - T0监控 -撤单比,T0委撤比,averageCommissionWithdrawalRatio,,,,,,中等
,,T0监控最大亏损率,maxprofit,,,,,,中等
,,总收益,totalRevenue,,,,,,中等
,,买入成交额,strategyBuyAmount2,,,,,,中等
,,卖出成交额,strategySellAmount2,,,,,,中等
,订单情况 - 期货开平多空张数,开仓,openCount,,,,,,中等
,,平仓,closeCount,,,,,,中等
,,多头,longCount,,,,,,中等
,,空头,shortCount,,,,,,中等
,账户情况,资产账户,assetAccount,,,,,,困难
,,组合账户,portfolioNo,,,,,,困难
,,产品账户,productAccount ,,,,,,困难
,,T+0交易可用,tradeAbleCash,,,,,,困难
,,可用保证金,accountTradableDeposit,,,,,,困难
,,占用保证金,accountOccupiedDeposit,,,,,,困难
,,可用保证金比例,proportion,,,,,,困难
,,现货持仓市值,positionHoldingAmount,,,,,,困难
,,期货净空头市值,netShortPositionAmount,,,,,,困难
,,现-期敞口,currentExposure,,,,,,困难
,,买入成交总金额,purchaseAmount,,,,,,困难
,,卖出成交总金额,sellAmount,,,,,,困难
,,净买入金额,netPurchaseAmount,,,,,,困难
,,委托总金额,entrustedAmount,,,,,,困难
,,上交所现货净买入,shNetSpotPurchase,,,,,,困难
,,深交所现货净买入,szNetSpotPurchase,,,,,,困难
交易监控-盘后,自动化交易,股票T0策略 交易账户 ,t0TradingAccount,,,,,,困难
,,股票T0策略 双边交易额,t0BilateralTradeAmount,,,,,,困难
,,可转债T0策略 交易账户 ,bondTradingAccount,,,,,,困难
,,可转债T0策略 双边交易额,bondBilateralTradeAmount,,,,,,困难
,,股票调仓策略 交易账户,posAdjustTradingAccount,,,,,,困难
,,股票调仓策略 组合市值,posAdjustCombiValue,,,,,,困难
,,股票调仓策略 换手率,posAdjustTurnoverRate,,,,,,困难
,,股票调仓策略 双边交易额,posAdjustTradingAmount,,,,,,困难
,,事件类型策略 交易账户,afterEventTradingAccount,,,,,,困难
,,事件类型策略 买入数量,afterEventBuyAmount,,,,,,困难
,,事件类型策略 买入市值,afterEventBuyValue,,,,,,困难
,,事件类型策略 卖出数量,afterEventSaleAmount,,,,,,困难
,,事件类型策略 卖出市值,afterEventSaleValue,,,,,,困难
,,股指期货策略 交易合约,indexFuturesTradeAgreement,,,,,,困难
,,股指期货策略 交易张数,indexFuturesTradeQty,,,,,,困难
,,股指期货策略 成交价格,indexFuturesTradeAvgPx,,,,,,困难
,组合持仓情况,现货市值,spotPosition,,,,,,困难
,,当日现货市值变动,spotPositionChange,,,,,,困难
,,现-期货敞口,exposure,,,,,,困难
,,期货持仓总量,futureHolding,,,,,,困难
,,期货持仓,futureHoldingDetail,,,,,,困难
,Mercury策略--成交情况,交易数量,mercuryExecTradeQty,,,,,,困难
,,成交均价,mercuryExecAvgPx,,,,,,困难
,,成交市值,mercuryExecMarketValue,,,,,,困难
,Mercury策略--现有持仓,市值,mercuryPosMarketValue,,,,,,困难
,策略版本,策略名称 / 更新时间 /策略版本,/api/strategy/queryXmasterStrategy ,,,,,,困难
,期货保证金,占用保证金,futuresOccupiedDeposit,,,,,,困难
,,可用期货保证金,futuresTradableDeposit,,,,,,困难
,,股票资产,futuresSymbolAsset,,,,,,困难
交易监控-基差价差监控,基差,查询基差合约年份交易月份历史月份,/api/queryBasisSpread/queryFutures ,,,,,,困难
,价差,价差的6个近月远月的交易月份历史月份,/api/queryBasisSpread/queryCloseFarMonth,,,,,,困难
,基差监控 / 基差升贴水率,合约,securityId,,,,,,困难
,,月份,month,,,,,,困难
,价差监控 / 价差比率,合约,securityId,,,,,,困难
,,近月,farMonth,,,,,,困难
,,远月,closeMonth,,,,,,困难
Alpha视图,顶部,总盈利,alphaGrossProfit,,,,,,困难
,,组合市值,alphaLongMarketValue,,,,,,困难
,,alpha盈利,alphaProfit,,,,,,困难
,,基差盈利,alphaBasisProfit,,,,,,困难
,,敞口,alphaExposureProfit,,,,,,困难
,市场风格,市场风格,barraFactor,300,style,,,,困难
,,分位数,alphaMarketQuantile,,,,,,困难
,,收益率,alphaMarketYieldRate,,,,,,困难
,权重,300组合,alphaCombiIndexWeight,300组合,,,,,困难
,,500组合,,500组合,,,,,困难
,,1000组合,,1000组合,,,,,困难
,组合,多头市值,alphaLongMarketValue,300组合  /  500组合  /  1000组合,,,,,困难
,,组合对冲市值,alphaPortfolioHedgingMarketValue,,,,,,困难
,,敞口比例,alphaExposureRatio,,,,,,困难
,,组合收益率,alphaPortfolioYield,,,,,,困难
,,多头收益率,alphaLongYield,,,,,,困难
,,多空收益率,alphaLongShortYield,,,,,,困难
,,基差收益率,alphaBasisYield,,,,,,困难
,,alpha盈利,alphaProfit,,,,,,困难
,,基差盈利,alphaBasisProfit,,,,,,困难
,,敞口盈利,alphaExposureProfit,,,,,,困难
,,总盈利,alphaGrossProfit,,,,,,困难
,股票持仓,偏离,alphaSymbolOffset,300组合  /  500组合  /  1000组合,,,,,困难
,,持仓占比,alphaSymbolPositionOccupy,,,,,,困难
,,证券代码,alphaSymbolTopTen,,,,,,困难
,,持仓张数,alphaBasisHoldingQty,,,,,,困难
,,加仓张数,alphaBasisAddQty,,,,,,困难
,,到期日,alphaBasisExpiringDate,,,,,,困难
,,到期天数,alphaBasisExpiringLeftDay,,,,,,困难
,,年化贴水,alphaBasisAnnualizedDiscount,,,,,,困难
,,成交价,alphaBasisExecPx,,,,,,困难
,,成交贴水,alphaBasisExecDiscount,,,,,,困难
,股票调仓监控,保证金占用,alphaDepositOccupiedRate,300组合  /  500组合  /  1000组合,,,,,困难
,,期现匹配,alphaFutureMatch,,,,,,困难
,股票调仓监控,买入//调仓,alphaStockAdjustBuyAmount,,,,,,困难
,,卖出//调仓,alphaStockAdjustSellAmount,,,,,,困难
,股票建仓监控,买入//建仓,alphaStockOpenBuyAmount,,,,,,困难
,,卖出//建仓,alphaStockOpenSellAmount,,,,,,困难
,,完成,alphaStockOpenExecProgress,,,,,,困难
,,基差,alphaStockOpenExecBasis,,,,,,困难
,alpha底部,行业贡献,barraFactor,300组合  /  500组合  /  1000组合,,style,,,困难
,,barra因子贡献,,,,industry,,,困难
